Iteration,Hash Function,Speed (s),Collisions,Per-Image Resistance,Second-per-Image Resistance (s),Entropy,Memory Usage (MiB),Efficiency Score
15,SHA-512,0,8501,TRUE,0.687701225,5.71875,0,0.000117699
15,SHA-256,0.000995159,8503,TRUE,0.752764463,4.9375,0,0.00011766
15,SHA-3-512,0.000999451,8501,TRUE,0.65673399,5.90625,0,0.000117701
15,MD5,0,8500,TRUE,0.680724382,4,0,0.000117689
16,SHA-3-256,0,8500,TRUE,0.691683292,4.8125,0,0.0001177
16,SHA-512,0.000999212,8504,TRUE,0.710516691,5.71875,0,0.000117657
16,SHA-256,0,8502,TRUE,0.673747301,4.9375,0,0.000117674
16,SHA-3-512,0,8500,TRUE,0.695814133,5.90625,0,0.000117715
16,MD5,0,8500,TRUE,0.678730965,4,0,0.000117689
17,SHA-3-256,0,8501,TRUE,0.676725864,4.8125,0,0.000117686
17,SHA-512,0,8503,TRUE,0.625907421,5.71875,0,0.000117671
17,SHA-256,0,8502,TRUE,0.677913904,4.9375,0,0.000117674
17,SHA-3-512,0.000996351,8501,TRUE,0.680724382,5.90625,0,0.000117701
17,MD5,0,8502,TRUE,0.679725409,4,0,0.000117661
18,SHA-3-256,0,8504,TRUE,0.726501942,4.8125,0,0.000117644
18,SHA-512,0.00099659,8501,TRUE,0.684869528,5.71875,0,0.000117699
18,SHA-256,0,8505,TRUE,0.700748205,4.9375,0,0.000117632
18,SHA-3-512,0.000996828,8502,TRUE,0.679728985,5.90625,0,0.000117687
18,MD5,0,8502,TRUE,0.706261873,4,0,0.000117661
19,SHA-3-256,0.00099802,8501,TRUE,0.681720734,4.8125,0,0.000117686
19,SHA-512,0.00099802,8501,TRUE,0.791742086,5.71875,0,0.000117699
19,SHA-256,0,8500,TRUE,0.770415068,4.9375,0,0.000117702
19,SHA-3-512,0,8502,TRUE,0.724617004,5.90625,0,0.000117687
19,MD5,0.000996351,8502,TRUE,0.723511457,4,0,0.000117661
20,SHA-3-256,0,8503,TRUE,0.845743179,4.8125,0,0.000117658
20,SHA-512,0,8503,TRUE,0.700667858,5.71875,0,0.000117671
20,SHA-256,0,8501,TRUE,0.691697598,4.9375,0,0.000117688
20,SHA-3-512,0.000996351,8500,TRUE,0.714617252,5.90625,0,0.000117715
20,MD5,0.000994921,8504,TRUE,0.724419594,4,0,0.000117633
21,SHA-3-256,0,8501,TRUE,0.678730249,4.8125,0,0.000117686
21,SHA-512,0,8500,TRUE,0.89265275,5.71875,0,0.000117712
21,SHA-256,0.00100565,8500,TRUE,0.871028423,4.9375,0,0.000117702
21,SHA-3-512,0.000996351,8502,TRUE,0.767633915,5.90625,0,0.000117687
21,MD5,0,8501,TRUE,0.91494894,4,0,0.000117675
22,SHA-3-256,0,8502,TRUE,0.767736912,4.8125,0,0.000117672
22,SHA-512,0,8505,TRUE,0.749116421,5.71875,0,0.000117643
22,SHA-256,0,8500,TRUE,0.807606936,4.9375,0,0.000117702
22,SHA-3-512,0,8501,TRUE,0.703071356,5.90625,0,0.000117701
22,MD5,0.015625,8503,TRUE,0.73423028,4,0,0.000117647
23,SHA-3-256,0,8503,TRUE,0.718711138,4.8125,0,0.000117658
23,SHA-512,0,8501,TRUE,0.747667551,5.71875,0,0.000117699
23,SHA-256,0,8500,TRUE,0.790897131,4.9375,0,0.000117702
23,SHA-3-512,0,8500,TRUE,0.681157351,5.90625,0,0.000117715
23,MD5,0,8501,TRUE,0.710833549,4,0,0.000117675
24,SHA-3-256,0,8503,TRUE,0.737429142,4.8125,0,0.000117658
24,SHA-512,0,8501,TRUE,0.673750877,5.71875,0,0.000117699
24,SHA-256,0,8500,TRUE,0.702748299,4.9375,0,0.000117702
24,SHA-3-512,0,8502,TRUE,0.6874125,5.90625,0,0.000117687
24,MD5,0,8504,TRUE,0.610831738,4,0,0.000117633
25,SHA-3-256,0,8503,TRUE,0.958152294,4.8125,0,0.000117658
25,SHA-512,0,8502,TRUE,0.718631983,5.71875,0,0.000117685
25,SHA-256,0,8505,TRUE,0.749916315,4.9375,0,0.000117632
25,SHA-3-512,0,8503,TRUE,0.76547575,5.90625,0,0.000117673
25,MD5,0,8500,TRUE,0.687358618,4,0,0.000117689
26,SHA-3-256,0,8503,TRUE,0.718722582,4.8125,0,0.000117658
26,SHA-512,0,8504,TRUE,0.703144073,5.71875,0,0.000117657
26,SHA-256,0,8501,TRUE,0.719831944,4.9375,0,0.000117688
26,SHA-3-512,0,8500,TRUE,0.698056459,5.90625,0,0.000117715
26,MD5,0,8500,TRUE,0.703051329,4,0,0.000117689
27,SHA-3-256,0,8502,TRUE,0.779932737,4.8125,0,0.000117672
27,SHA-512,0,8500,TRUE,0.715745687,5.71875,0,0.000117712
27,SHA-256,0,8500,TRUE,0.726738453,4.9375,0,0.000117702
27,SHA-3-512,0.000982761,8502,TRUE,0.778489351,5.90625,0,0.000117687
27,MD5,0.00099802,8502,TRUE,0.799096107,4,0,0.000117661
28,SHA-3-256,0,8501,TRUE,0.752561569,4.8125,0,0.000117686
28,SHA-512,0.000922918,8501,TRUE,0.721410513,5.71875,0,0.000117699
28,SHA-256,0,8502,TRUE,0.859781265,4.9375,0,0.000117674
28,SHA-3-512,0.000971079,8501,TRUE,0.684569836,5.90625,0,0.000117701
28,MD5,0,8500,TRUE,0.770151377,4,0,0.000117689
29,SHA-3-256,0.000997543,8502,TRUE,0.683793306,4.8125,0,0.000117672
29,SHA-512,0.001072645,8501,TRUE,0.724475622,5.71875,0,0.000117699
29,SHA-256,0,8501,TRUE,0.741631985,4.9375,0,0.000117688
29,SHA-3-512,0,8504,TRUE,0.739405632,5.90625,0,0.00011766
29,MD5,0,8500,TRUE,0.77558732,4,0,0.000117689
30,SHA-3-256,0,8502,TRUE,0.816151142,4.8125,0,0.000117672
30,SHA-512,0,8502,TRUE,0.753784657,5.71875,0,0.000117685
30,SHA-256,0,8501,TRUE,0.762305498,4.9375,0,0.000117688
30,SHA-3-512,0.000998735,8502,TRUE,0.690684795,5.90625,0,0.000117687
30,MD5,0,8501,TRUE,0.782398701,4,0,0.000117675
31,SHA-3-256,0,8503,TRUE,0.748652458,4.8125,0,0.000117658
31,SHA-512,0.000997066,8503,TRUE,0.714808941,5.71875,0,0.000117671
31,SHA-256,0,8502,TRUE,0.681720972,4.9375,0,0.000117674
31,SHA-3-512,0,8501,TRUE,0.689693689,5.90625,0,0.000117701
31,MD5,0,8501,TRUE,0.678730726,4,0,0.000117675
32,SHA-3-256,0,8503,TRUE,0.710359097,4.8125,0,0.000117658
32,SHA-512,0.000999212,8503,TRUE,0.684798002,5.71875,0,0.000117671
32,SHA-256,0,8503,TRUE,0.686691284,4.9375,0,0.00011766
32,SHA-3-512,0.000994921,8502,TRUE,0.686794043,5.90625,0,0.000117687
32,MD5,0,8504,TRUE,0.71852541,4,0,0.000117633
33,SHA-3-256,0,8502,TRUE,0.689694643,4.8125,0,0.000117672
33,SHA-512,0.000997543,8501,TRUE,0.76559782,5.71875,0,0.000117699
33,SHA-256,0.001019955,8504,TRUE,0.705714226,4.9375,0,0.000117646
33,SHA-3-512,0,8504,TRUE,0.684710979,5.90625,0,0.00011766
33,MD5,0,8500,TRUE,0.682717323,4,0,0.000117689
34,SHA-3-256,0,8501,TRUE,0.67672658,4.8125,0,0.000117686
34,SHA-512,0,8501,TRUE,0.682715178,5.71875,0,0.000117699
34,SHA-256,0.00100565,8501,TRUE,0.680724144,4.9375,0,0.000117688
34,SHA-3-512,0,8506,TRUE,0.692906857,5.90625,0,0.000117632
34,MD5,0.000930071,8501,TRUE,0.672750473,4,0,0.000117675
35,SHA-3-256,0,8503,TRUE,0.715536356,4.8125,0,0.000117658
35,SHA-512,0,8502,TRUE,0.732479334,5.71875,0,0.000117685
35,SHA-256,0,8502,TRUE,0.796902657,4.9375,0,0.000117674
35,SHA-3-512,0,8503,TRUE,0.680702209,5.90625,0,0.000117673
35,MD5,0.001338959,8505,TRUE,0.742665291,4,0,0.000117619
36,SHA-3-256,0,8501,TRUE,0.716717005,4.8125,0,0.000117686
36,SHA-512,0.000519991,8503,TRUE,0.682718039,5.71875,0,0.000117671
36,SHA-256,0.000919819,8501,TRUE,0.716674089,4.9375,0,0.000117688
36,SHA-3-512,0,8502,TRUE,0.686701059,5.90625,0,0.000117687
36,MD5,0,8502,TRUE,0.734233856,4,0,0.000117661
37,SHA-3-256,0,8503,TRUE,0.686695337,4.8125,0,0.000117658
37,SHA-512,0,8504,TRUE,0.685974121,5.71875,0,0.000117657
37,SHA-256,0,8502,TRUE,1.049499035,4.9375,0,0.000117674
37,SHA-3-512,0.000996351,8500,TRUE,0.755553722,5.90625,0,0.000117715
37,MD5,0,8501,TRUE,0.715538979,4,0,0.000117675
38,SHA-3-256,0,8500,TRUE,0.797548532,4.8125,0,0.0001177
38,SHA-512,0,8504,TRUE,0.690685034,5.71875,0,0.000117657
38,SHA-256,0,8503,TRUE,0.687702656,4.9375,0,0.00011766
38,SHA-3-512,0,8503,TRUE,0.681721687,5.90625,0,0.000117673
38,MD5,0,8501,TRUE,0.682790756,4,0,0.000117675
39,SHA-3-256,0,8500,TRUE,0.689941168,4.8125,0,0.0001177
39,SHA-512,0.000994205,8506,TRUE,0.712685823,5.71875,0,0.000117629
39,SHA-256,0,8501,TRUE,0.693769932,4.9375,0,0.000117688
39,SHA-3-512,0,8502,TRUE,0.698662519,5.90625,0,0.000117687
39,MD5,0,8502,TRUE,0.67828083,4,0,0.000117661
40,SHA-3-256,0,8501,TRUE,0.746571541,4.8125,0,0.000117686
40,SHA-512,0.000929594,8502,TRUE,0.748237133,5.71875,0,0.000117685
40,SHA-256,0.000927925,8501,TRUE,0.955816031,4.9375,0,0.000117688
40,SHA-3-512,0.000763893,8504,TRUE,0.688697815,5.90625,0,0.00011766
40,MD5,0,8502,TRUE,0.873769283,4,0,0.000117661
41,SHA-3-256,0,8502,TRUE,0.628896713,4.8125,0,0.000117672
41,SHA-512,0,8503,TRUE,0.878588438,5.71875,0,0.000117671
41,SHA-256,0.00099659,8502,TRUE,0.686704397,4.9375,0,0.000117674
41,SHA-3-512,0.00099659,8501,TRUE,0.856987953,5.90625,0,0.000117701
41,MD5,0,8504,TRUE,0.737421751,4,0,0.000117633
42,SHA-3-256,0,8501,TRUE,0.877808094,4.8125,0,0.000117686
42,SHA-512,0.000928164,8501,TRUE,0.769822836,5.71875,0,0.000117699
42,SHA-256,0.001100779,8501,TRUE,0.795594692,4.9375,0,0.000117688
42,SHA-3-512,0,8502,TRUE,0.704607964,5.90625,0,0.000117687
42,MD5,0,8506,TRUE,0.785072327,4,0,0.000117606
43,SHA-3-256,0,8502,TRUE,0.685706139,4.8125,0,0.000117672
43,SHA-512,0.00100255,8502,TRUE,0.799539089,5.71875,0,0.000117685
43,SHA-256,0,8500,TRUE,0.775474072,4.9375,0,0.000117702
43,SHA-3-512,0,8503,TRUE,0.771289587,5.90625,0,0.000117673
43,MD5,0,8504,TRUE,0.7310009,4,0,0.000117633
44,SHA-3-256,0,8501,TRUE,0.693070173,4.8125,0,0.000117686
44,SHA-512,0,8502,TRUE,0.784113407,5.71875,0,0.000117685
44,SHA-256,0.000957012,8501,TRUE,0.6937778,4.9375,0,0.000117688
44,SHA-3-512,0.000997066,8503,TRUE,0.637045383,5.90625,0,0.000117673
44,MD5,0.001025677,8502,TRUE,0.752882719,4,0,0.000117661
45,SHA-3-256,0,8501,TRUE,0.849257469,4.8125,0,0.000117686
45,SHA-512,0,8500,TRUE,0.667840242,5.71875,0,0.000117712
45,SHA-256,0.000965595,8500,TRUE,0.682722807,4.9375,0,0.000117702
45,SHA-3-512,0,8504,TRUE,0.698734283,5.90625,0,0.00011766
45,MD5,0.00099206,8503,TRUE,0.770035744,4,0,0.000117647
46,SHA-3-256,0,8503,TRUE,0.709620953,4.8125,0,0.000117658
46,SHA-512,0,8503,TRUE,0.812343597,5.71875,0,0.000117671
46,SHA-256,0,8502,TRUE,0.771476507,4.9375,0,0.000117674
46,SHA-3-512,0,8501,TRUE,0.681721449,5.90625,0,0.000117701
46,MD5,0,8504,TRUE,0.687928438,4,0,0.000117633
47,SHA-3-256,0.000969648,8507,TRUE,0.68172121,4.8125,0,0.000117603
